"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PARD3",1373.92937699924,4.32708019232154,0.198432791113141,21.8062759085738,2.02287355323705e-105,3.66772261121292e-103
"IGF2BP2",2631.506180997,9.90918076575151,0.45463795708729,21.7957621251781,2.54520321662182e-105,4.57899815902009e-103
"CD24P4",1159.61066247692,5.76440150791934,0.264843183653436,21.7653383726969,4.94436018018924e-105,8.82682392783323e-103
"HAS3",4465.57858186929,8.28889412003472,0.382278814841301,21.682849789821,2.97854043435807e-104,5.2767913282887e-102
"EPHA2",5348.95524147028,5.56420716009977,0.256910273820642,21.6581730164062,5.0902432556809e-104,8.94957314226078e-102
"PDGFA",763.14202198767,4.62360565410389,0.213487835543292,21.6574665359155,5.16889498628781e-104,9.01952743171185e-102
"MCC",1751.50594535586,4.55714777772606,0.21076237014171,21.6222078669071,1.11036428893693e-103,1.92308465803346e-101
"TMSB4X",12450.6462279769,4.98193544732701,0.230453970609278,21.6179197700768,1.21846829726692e-103,2.09468238836821e-101
"C1orf233",1358.41430346567,-3.73990887203073,0.173026796950265,-21.6146223472295,1.30868715046503e-103,2.23323613147003e-101
"EMP1",2999.64654498091,9.4795171528131,0.438761525252187,21.6051695676018,1.6059791267145e-103,2.72055208560512e-101
"EPAS1",3339.87307725075,7.69260694400273,0.356897871268934,21.5540846927778,4.84759828800302e-103,8.15239572956334e-101
"MAGEA6",1882.95736673448,-10.0357711925619,0.466880353510482,-21.4953812408312,1.71976908342277e-102,2.87139574734357e-100
"DNMBP",1312.12921268969,3.02703177687484,0.141131825458972,21.4482578045787,4.74077769434712e-102,7.85885490931486e-100
"SEMA6A",1672.14188869784,-6.51768177316363,0.305168179965223,-21.3576716088368,3.30899126654969e-101,5.44645881660178e-99
"LIPG",2752.8123127336,7.70748561596735,0.362527649318763,21.2604076694584,2.6411224639005e-100,4.31656127761992e-98
"ARAP3",614.0011962128,5.87011149709504,0.276721051543012,21.2131005731692,7.22878526981093e-100,1.17318635343897e-97
"NT5E",5338.22498289726,10.0892875389986,0.476674312648025,21.1659979807817,1.9655689451604e-99,3.16784194995018e-97
"MLPH",2258.7030213062,-3.26308420041467,0.154200641619059,-21.1612880864392,2.1720726049144e-99,3.47651455274851e-97
"IFFO2",2355.87991918049,3.35032687322697,0.158338708038712,21.1592409381531,2.26844901794937e-99,3.60590169921705e-97
"CRIM1",3515.13379168879,6.39458643140984,0.302479278918652,21.140576816601,3.36934843216292e-99,5.31944479004333e-97
"MYO1B",9453.18974131479,3.62417863848057,0.171780037628272,21.0977869636006,8.33466396639629e-99,1.30696541440625e-96
"RAMP1",616.138911384676,-5.98009618569853,0.283486215675894,-21.0948393784885,8.87062696415317e-99,1.3816745676783e-96
"JAK1",2319.27519277983,4.25872981622074,0.201994417683273,21.0834035171132,1.12961007398702e-98,1.74773270647272e-96
"PROCR",850.165359256257,5.74732338618558,0.273045531280431,21.0489560449272,2.33772226257597e-98,3.59297074634855e-96
"ADAM8",3183.55511900329,5.24313378180792,0.249661165133891,21.0009986094396,6.42214277287178e-98,9.80559799163213e-96
"MYO1E",2892.83902285416,3.19209029565272,0.152598398753851,20.9182424043762,3.65331867832707e-97,5.54158299912513e-95
"PODXL",1007.12109731134,-5.82019445865961,0.278331219975668,-20.9110370700362,4.24896705444956e-97,6.4032485324458e-95
"LAMP1",5971.90152438532,2.37911648433864,0.113837636083995,20.8992084356285,5.4440225451418e-97,8.15128227275167e-95
"TRIM22",930.301848760416,6.86812195618004,0.329579456096416,20.8390475472198,1.91613109060683e-96,2.85061348402585e-94
"LGALS3",1250.86860999687,7.63273774723497,0.366407886580221,20.8312594427846,2.25454130795759e-96,3.33270029777578e-94
"MPC2",5999.24144839204,-3.46006385885905,0.166263807525342,-20.8106858032327,3.4635474593388e-96,5.08746895166676e-94
"AHR",1494.42792338385,3.48481529430118,0.167565011992423,20.796795541415,4.62708637075354e-96,6.75380003097158e-94
"BACE2",1883.27884560026,5.47678992110211,0.263989380252872,20.7462509130328,1.32531930788839e-95,1.9223756560921e-93
"BDKRB2",506.433746848261,5.33478816212714,0.258230897125917,20.658984736152,8.10505152683029e-95,1.16833562630234e-92
"SORBS3",1862.6065469707,4.02210204103816,0.194906627518762,20.6360455375022,1.30296926487553e-94,1.8666241172365e-92
"ABCD1",1386.43790048982,-4.27400517903648,0.207212288327973,-20.6262148520441,1.59669863754099e-94,2.27338539754916e-92
"PPP4R1",4610.6260007859,3.21256696664525,0.15587770164522,20.609535121047,2.25385928839684e-94,3.18948575397036e-92
"CD59",12435.0966093053,4.23223423937811,0.205826729328076,20.5621216116793,5.99534191677573e-94,8.43272092148673e-92
"ZYX",6406.70038989968,3.16988543675805,0.154547352608524,20.5107715095419,1.72535888024473e-93,2.41217643932047e-91
"ETS1",5573.34163210442,7.47870329851843,0.364966774786752,20.4914633746817,2.56564727428695e-93,3.56548155339231e-91
"PTAFR",912.382295458922,7.89951778109497,0.3855904456046,20.4868089215973,2.82300696266908e-93,3.89978247557285e-91
"NSG1",593.653862929512,6.27618967858186,0.306520849310827,20.4755718662958,3.55550445028837e-93,4.88261226522441e-91
"STK39",9620.2800180246,-2.87497239705,0.140548704365968,-20.4553461379765,5.38388045326208e-93,7.34994691525331e-91
"DIS3",1564.56815182182,2.34924760088396,0.115753436366503,20.2952730789407,1.41566050013366e-91,1.92132449632175e-89
"RFTN1",784.792513927316,6.85382899459726,0.337861566169732,20.2859090256928,1.71267703511561e-91,2.31091910645135e-89
"MSN",15034.3023187181,3.76012998906179,0.185766142484338,20.2412018615223,4.24685806734898e-91,5.69717237150492e-89
"CLMP",629.877884656899,7.1123955379222,0.35167739023299,20.2242047269805,5.99492596221106e-91,7.99599090408013e-89
"FAT2",6671.52368561861,8.38560545223048,0.414858681616657,20.2131613096602,7.49878007951731e-91,9.94466789059644e-89
"SH3PXD2A",5729.94241526039,8.26637012796367,0.41054899990637,20.1349172202317,3.64922282594359e-90,4.81199791730106e-88
"ETV4",943.575662298929,8.4244312139574,0.418770379983043,20.1170656203013,5.23139531659996e-90,6.85933460495209e-88
"LIMA1",11214.3722963734,3.78735723101671,0.18913591187539,20.0245273013618,3.36692106529379e-89,4.38985977996283e-87
"EHD1",2744.60853490062,2.97319621195713,0.148835622131862,19.9763750731865,8.8415363268135e-89,1.14633729090887e-86
"SQLE",5017.23269523726,2.81404809594033,0.141025914828908,19.954120484553,1.3803030548136e-88,1.779670738673e-86
"CD82",2235.03989287563,4.40636355094469,0.221423524012247,19.9001599789414,4.05631961594461e-88,5.20105335065428e-86
"CLGN",866.897312414147,-8.50250237290234,0.428628914254423,-19.8365114674823,1.44118898052369e-87,1.83775350879086e-85
"ELK3",1985.76695978245,3.7911637065342,0.191220409333533,19.8261457537283,1.77101778038323e-87,2.24599894246634e-85
"IFI27L2",603.561442652594,5.7751651624765,0.29133743031221,19.8229426142998,1.88742966917433e-87,2.38062324794553e-85
"SERPINB5",8769.87655661589,6.46794208110551,0.326471990969247,19.8116293587794,2.36311808015017e-87,2.96449969752028e-85
"SPOCK1",432.792573246268,3.96135409300499,0.200591430685565,19.7483715005481,8.28464964151592e-87,1.03371047785108e-84
"PKP2",1948.56217692631,3.74372712118011,0.19020637051775,19.6824486529527,3.04908632386834e-86,3.78412809648858e-84
"MYH9",52663.7139972654,2.22963579213047,0.113468384299688,19.6498417236791,5.79934014873948e-86,7.15910032829499e-84
"SLC9A2",1154.91013084499,-8.737720662949,0.446060610841287,-19.5886398632449,1.9328518783673e-85,2.37341938588086e-83
"PGF",577.240428791842,6.90224818178577,0.352547215041673,19.5782235323285,2.37147762476198e-85,2.89669751134085e-83
"TGFA",3402.27761162268,5.9053810368414,0.302069587440394,19.5497371545445,4.14651705524128e-85,5.03834386481883e-83
"PLAT",2555.96817983948,8.95789985083059,0.459953678803799,19.4756564924698,1.76645370383404e-84,2.1352009145094e-82
